Condition,Parameter,Accuracy,F1-Score,Acc Drop,F1 Drop
Clean,None,0.8746666666666667,0.8721672789125444,0.0,0.0
Gaussian Noise,sigma=0.1,0.216,0.07673684210526316,0.6586666666666667,0.7954304368072813
Gaussian Noise,sigma=0.5,0.216,0.07673684210526316,0.6586666666666667,0.7954304368072813
Gaussian Noise,sigma=1.0,0.216,0.07673684210526316,0.6586666666666667,0.7954304368072813
Blur,k=3,0.45866666666666667,0.45632285196242006,0.41600000000000004,0.41584442695012436
Blur,k=5,0.4146666666666667,0.4046055012021895,0.46,0.4675617777103549
Blur,k=7,0.42533333333333334,0.41743443086521387,0.44933333333333336,0.45473284804733055
Contrast,factor=0.5,0.84,0.836804698349099,0.034666666666666734,0.035362580563445434
Contrast,factor=0.8,0.876,0.8731676460047272,-0.0013333333333332975,-0.0010003670921827634
