Condition,Parameter,Accuracy,F1-Score,Acc Drop,F1 Drop
Clean,None,0.988,0.9880205565339645,0.0,0.0
Gaussian Noise,sigma=0.1,0.844,0.8502412364688031,0.14400000000000002,0.13777932006516136
Gaussian Noise,sigma=0.5,0.276,0.11939811912225705,0.712,0.8686224374117074
Gaussian Noise,sigma=1.0,0.276,0.11939811912225705,0.712,0.8686224374117074
Blur,k=3,0.9573333333333334,0.9580088022138137,0.03066666666666662,0.030011754320150796
Blur,k=5,0.912,0.9139563441990711,0.07599999999999996,0.07406421233489335
Blur,k=7,0.8893333333333333,0.8907590422191627,0.09866666666666668,0.09726151431480179
Contrast,factor=0.5,0.9866666666666667,0.986634326829169,0.0013333333333332975,0.0013862297047955163
Contrast,factor=0.8,0.9893333333333333,0.9893384369240739,-0.0013333333333332975,-0.0013178803901093827
