Condition,Parameter,Accuracy,F1-Score,Acc Drop,F1 Drop
Clean,None,0.98,0.9800604512279154,0.0,0.0
Gaussian Noise,sigma=0.1,0.98,0.9800389437005211,0.0,2.1507527394271087e-05
Gaussian Noise,sigma=0.5,0.9293333333333333,0.9305829741998961,0.05066666666666664,0.0494774770280193
Gaussian Noise,sigma=1.0,0.68,0.6926765847628581,0.29999999999999993,0.2873838664650573
Blur,k=3,0.9746666666666667,0.9747608995824212,0.005333333333333301,0.005299551645494227
Blur,k=5,0.9573333333333334,0.9573030276456175,0.022666666666666613,0.02275742358229793
Blur,k=7,0.944,0.9437840393914776,0.03600000000000003,0.036276411836437816
Contrast,factor=0.5,0.936,0.9378188604895368,0.04399999999999993,0.04224159073837863
Contrast,factor=0.8,0.984,0.9840661063938214,-0.0040000000000000036,-0.004005655165906008
