Condition,Parameter,Accuracy,F1-Score,Acc Drop,F1 Drop
Clean,None,0.9613333333333334,0.9614277885736778,0.0,0.0
Gaussian Noise,sigma=0.1,0.9626666666666667,0.9627209286079522,-0.0013333333333332975,-0.001293140034274387
Gaussian Noise,sigma=0.5,0.9066666666666666,0.9064062881815259,0.05466666666666675,0.05502150039215192
Gaussian Noise,sigma=1.0,0.7893333333333333,0.7754634020705441,0.17200000000000004,0.18596438650313374
Blur,k=3,0.9546666666666667,0.954767493206249,0.00666666666666671,0.006660295367428848
Blur,k=5,0.9426666666666667,0.9428057357115904,0.01866666666666672,0.0186220528620874
Blur,k=7,0.952,0.9521087445887447,0.009333333333333416,0.009319043984933106
Contrast,factor=0.5,0.6346666666666667,0.609035301218454,0.32666666666666666,0.3523924873552239
Contrast,factor=0.8,0.9173333333333333,0.9175274718629144,0.04400000000000004,0.04390031671076344
